Number,City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed
1,kruisfontein,ZA,-34.0033,24.7314,89.01,40,51,8.01
2,vila franca do campo,PT,37.7167,-25.4333,55.53,67,40,25.32
3,port alfred,ZA,-33.5906,26.891,75.99,71,7,11.99
4,bredasdorp,ZA,-34.5322,20.0403,82.4,36,0,11.5
5,albany,US,42.6001,-73.9662,25.74,86,100,1.01
6,cidreira,BR,-30.1811,-50.2056,79.05,78,92,4.25
7,ushuaia,AR,-54.8,-68.3,51.8,71,75,24.16
8,dikson,RU,73.5069,80.5464,-15.88,80,100,17.05
9,narsaq,GL,60.9167,-46.05,24.8,80,75,8.05
10,sao filipe,CV,14.8961,-24.4956,75.25,67,5,7.76
11,longyearbyen,SJ,78.2186,15.6401,19.4,86,90,13.8
12,port elizabeth,ZA,-33.918,25.5701,75.2,57,0,23.02
13,shache,CN,38.4167,77.2406,36.97,62,98,8.84
14,saint anthony,US,45.0205,-93.218,21.2,86,90,3.44
15,jamestown,US,42.097,-79.2353,19.53,93,90,10.36
16,maceio,BR,-9.6658,-35.7353,82.4,74,75,10.36
17,husavik,IS,66.0449,-17.3389,15.8,67,0,5.75
18,cap malheureux,MU,-19.9842,57.6142,84.99,70,6,8.99
19,puerto del rosario,ES,28.5004,-13.8627,66.2,77,75,6.91
20,qaanaaq,GL,77.484,-69.3632,-3.06,79,100,5.17
21,timizart,DZ,36.8,4.2667,61.39,65,14,9.55
22,fenoarivo,MG,-18.933,47.4354,86.0,37,75,13.8
23,kindu,CD,-2.95,25.95,96.06,37,55,1.52
24,hermanus,ZA,-34.4187,19.2345,89.01,37,0,8.01
25,trelew,AR,-43.249,-65.3051,75.96,30,97,13.98
26,grindavik,IS,63.8424,-22.4338,33.8,64,75,19.57
27,upernavik,GL,72.7868,-56.1549,-8.0,88,100,10.38
28,turtas,RU,58.9417,69.1325,16.93,96,98,8.57
29,saint-philippe,RE,-21.3585,55.7679,80.55,70,90,18.41
30,fuerte olimpo,PY,-21.0415,-57.8738,83.39,67,8,5.08
31,ribeira grande,PT,38.5167,-28.7,57.2,67,20,23.02
32,shar,KZ,49.5886,81.0453,22.12,98,94,2.98
33,neftcala,AZ,39.3742,49.2472,55.18,74,0,7.85
34,olafsvik,IS,64.8945,-23.7142,36.93,74,100,18.23
35,mahebourg,MU,-20.4081,57.7,87.8,62,75,14.97
36,ponta do sol,PT,32.6667,-17.1,59.49,63,22,5.99
37,bakel,SN,14.905,-12.4568,92.88,9,30,15.21
38,keflavik,IS,64.0049,-22.5624,35.6,64,75,18.41
39,chadiza,ZM,-14.0678,32.4392,77.7,76,100,5.21
40,busselton,AU,-33.65,115.3333,75.58,64,0,4.0
41,saldanha,ZA,-33.0117,17.9442,89.6,25,0,9.22
42,san cristobal,VE,7.7669,-72.225,82.4,47,40,25.32
43,jumla,NP,29.2747,82.1838,43.18,53,0,4.47
44,koungou,YT,-12.7336,45.2042,87.8,66,20,12.66
45,sinnamary,GF,5.3833,-52.95,77.95,87,94,13.09
46,punta arenas,CL,-53.15,-70.9167,55.2,71,75,16.11
47,mar del plata,AR,-38.0023,-57.5575,68.63,82,40,9.22
48,colombo,LK,6.9319,79.8478,91.4,55,20,11.5
49,koygorodok,RU,60.445,50.9968,18.39,97,100,5.61
50,bambous virieux,MU,-20.3428,57.7575,86.47,62,75,14.97
51,turayf,SA,31.6725,38.6637,69.8,35,0,23.02
